"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"179","Ini sk penggabungan Stie Indonesia Raya menjadi Universitas Pancasakti https://t.co/8VGqmvX5W8",FALSE,2,NA,2020-08-05 07:08:38,FALSE,NA,"1290907552041979904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FlorentiusFlor1",0,FALSE,FALSE,NA,NA
"180","Ini SK Kepengurusan Berkarya Kubu Muchdi PR - https://t.co/6ciZbWBA8a

#INDONESIA",FALSE,0,NA,2020-08-05 07:05:06,FALSE,NA,"1290906662350405632",NA,"<a href=""https://idcorner.co.id"" rel=""nofollow"">IDCorner.Co.iD</a>","IDCorner",0,FALSE,FALSE,NA,NA
"181","Ini sk penggabungan dari Stie Indonesia Raya menjadi Universitas https://t.co/5M5DIWTKAA",FALSE,2,NA,2020-08-05 05:57:42,FALSE,NA,"1290889699964248064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FlorentiusFlor1",0,FALSE,FALSE,NA,NA
"182","RT @mayang56365678: Jawa Barat Propinsi pertama di Indonesia yang memperhatikan nasib para guru honorer, dengan menerbitkan SK Gubernur, te…",FALSE,0,NA,2020-08-05 04:53:49,FALSE,NA,"1290873622559469568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gayunkroland",5,TRUE,FALSE,NA,NA
"183","RT @Kemlu_RI: Telah terjadi ledakan di Port of Beirut, Lebanon pada Selasa (04/08) yang menimbulkan korban. Indonesia sampaikan belasungkaw…",FALSE,0,NA,2020-08-05 04:52:23,FALSE,NA,"1290873261597892608",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","indonesia_sk",82,TRUE,FALSE,NA,NA
"184","RT @Kemlu_RI: Berikut Perkembangan #COVID19 di Dunia &amp; Pelindungan WNI per 05/08 pkl 08.00 WIB. 

Tambahan WNI terkonfirmasi COVID19 di <U+0001F1F2><U+0001F1FB>&amp;…",FALSE,0,NA,2020-08-05 04:52:03,FALSE,NA,"1290873179846717441",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","indonesia_sk",30,TRUE,FALSE,NA,NA
"185","RT @mayang56365678: Jawa Barat Propinsi pertama di Indonesia yang memperhatikan nasib para guru honorer, dengan menerbitkan SK Gubernur, te…",FALSE,0,NA,2020-08-05 04:42:55,FALSE,NA,"1290870881141415936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Manda43055066",5,TRUE,FALSE,NA,NA
"186","RT @mayang56365678: Jabar Propinsi pertama di Indonesia yang memperhatikan nasib para guru honorer, dengan menerbitkan SK Gubernur, tentang…",FALSE,0,NA,2020-08-05 04:30:08,FALSE,NA,"1290867663695093763",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Manda43055066",4,TRUE,FALSE,NA,NA
"187","Ini sk penggabungan Stie Indonesia Raya menjadi Universitas https://t.co/tcXYxlHA7m",FALSE,3,NA,2020-08-05 00:22:30,FALSE,NA,"1290805342696165376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FlorentiusFlor1",0,FALSE,FALSE,NA,NA
"188","Ini sk penggabungan Stie Indonesia Raya menjadi Universitas Pancasakti https://t.co/DFmd4e1Qjd",FALSE,2,NA,2020-08-04 23:54:04,FALSE,NA,"1290798188991922177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FlorentiusFlor1",0,FALSE,FALSE,NA,NA
"189","RT @veeola: Dua puluh delapan tahun yang lalu sejarah diukir oleh pasangan legenda ini. 

https://t.co/AUrIocX13S",FALSE,0,NA,2020-08-04 15:13:05,FALSE,NA,"1290667079021006848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shilaaryn",4,TRUE,FALSE,NA,NA
"190","Selain itu, melalui SK - 262/MBU/08/2020 tanggal 4 Agustus 2020, Menteri BUMN juga mengangkat Darmin Nasution sebag… https://t.co/L5Tm4gzoUb",FALSE,0,NA,2020-08-04 14:18:36,TRUE,NA,"1290653365400227841",NA,"<a href=""http://www.mediaindonesia.com"" rel=""nofollow"">micom</a>","mediaindonesia",0,FALSE,FALSE,NA,NA
"191","nih kok pada ngepost yg berbau Indonesia? next album ada lagu bahasa Indonesia gitu? @ Label SJ []",FALSE,0,NA,2020-08-04 12:59:06,FALSE,NA,"1290633360121815041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SK_GGYoona90",0,FALSE,FALSE,NA,NA
"192","Figo Ungkap Ketatnya Persaingan di Timnas Indonesia U-19

https://t.co/eJAl7jt2rD",FALSE,0,NA,2020-08-04 12:56:02,FALSE,NA,"1290632587795292160",NA,"<a href=""https://skor.id"" rel=""nofollow"">SKOR.ID</a>","skorindonesia",0,FALSE,FALSE,NA,NA
"193","@DTanjung15 Mana ada kadrun sk sm NKRI,pancasila aja dia bilang pantat gila.mrk itu cm sampah dn hrs dilenyapkan dr indonesia",FALSE,2,"DTanjung15",2020-08-04 12:10:40,FALSE,"1290615047467622400","1290621172732723203","1134422706256957441","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","agoez_76",0,FALSE,FALSE,NA,NA
"194","RT @veeola: Dua puluh delapan tahun yang lalu sejarah diukir oleh pasangan legenda ini. 

https://t.co/AUrIocX13S",FALSE,0,NA,2020-08-04 10:52:50,FALSE,NA,"1290601584418680832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bulenesiaaa",4,TRUE,FALSE,NA,NA
"195","Dua puluh delapan tahun yang lalu sejarah diukir oleh pasangan legenda ini. 

https://t.co/AUrIocX13S",FALSE,32,NA,2020-08-04 10:20:55,FALSE,NA,"1290593552515252224",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","veeola",4,FALSE,FALSE,NA,NA
